country,year,primary_energy_consumption,ai_prediction
Nicaragua,2018,28.145,29.390316
Niger,2016,9.681,10.6837635
Niger,2017,9.415,10.280077
Niger,2018,10.389,10.246155
Nigeria,2016,469.574,471.4504
Nigeria,2017,456.42,458.8948
Nigeria,2018,488.395,488.01627
North Korea,2016,114.258,107.306694
North Korea,2017,93.337,104.82405
North Korea,2018,96.753,93.13436
North Macedonia,2016,30.59,30.40178
North Macedonia,2017,29.432,30.570353
North Macedonia,2018,29.401,30.117289
Norway,2016,556.1,552.4965
Norway,2017,558.883,553.4225
Norway,2018,550.134,552.73975
Oman,2016,337.738,340.80582
Oman,2017,353.378,355.62924
Oman,2018,375.743,371.65775
Pakistan,2016,888.988,876.9392
Pakistan,2017,940.998,955.3318
Pakistan,2018,971.03,971.7294
Palestine,2016,19.239,20.580738
Palestine,2017,19.313,20.550472
Palestine,2018,19.689,20.632229
Panama,2016,118.755,116.40763
Panama,2017,127.716,121.75674
Panama,2018,130.186,129.55765
Paraguay,2016,154.904,146.53127
Paraguay,2017,148.943,152.25272
Paraguay,2018,149.095,151.5598
Peru,2016,298.938,297.8127
Peru,2017,303.59,305.33
Peru,2018,318.425,316.39157
Philippines,2016,485.48,486.90915
Philippines,2017,532.613,522.4264
Philippines,2018,547.257,552.19995
Poland,2016,1160.688,1156.9485
Poland,2017,1205.901,1197.6716
Poland,2018,1219.635,1218.6608
Portugal,2016,311.496,304.9273
Portugal,2017,301.878,307.95932
Portugal,2018,307.598,309.65784
Puerto Rico,2016,87.813,91.48858
Puerto Rico,2017,85.239,87.269005
Puerto Rico,2018,85.661,83.99979
Qatar,2016,579.369,581.60046
Qatar,2017,561.035,566.34174
Qatar,2018,560.46,553.3482
Romania,2016,382.57,388.02292
Romania,2017,388.997,390.6085
Romania,2018,396.421,394.83734
Russia,2016,8092.628,8093.426
Russia,2017,8141.66,8136.4897
Russia,2018,8441.753,8442.24
Rwanda,2016,5.125,5.121435
Rwanda,2017,5.612,5.055158
Rwanda,2018,6.155,6.1585317
Saint Lucia,2016,1.861,1.5062876
Saint Lucia,2017,2.017,1.9775035
Saint Lucia,2018,1.855,1.4525762
Sao Tome and Principe,2016,0.665,1.0485119
Sao Tome and Principe,2017,0.676,1.0485119
Sao Tome and Principe,2018,0.666,1.0485119
Saudi Arabia,2016,3179.844,3176.1646
Saudi Arabia,2017,3181.819,3182.124
Saudi Arabia,2018,3101.677,3110.06
Senegal,2016,35.844,39.37522
Senegal,2017,38.04,37.400757
Senegal,2018,39.586,39.544167
Serbia,2016,192.316,191.77821
Serbia,2017,196.767,196.20746
Serbia,2018,196.858,202.97215
Seychelles,2016,5.05,6.105247
Seychelles,2017,5.267,6.271494
Seychelles,2018,4.672,5.3988094
Sierra Leone,2016,4.433,4.226286
Sierra Leone,2017,4.405,4.180307
Sierra Leone,2018,4.467,4.180307
Singapore,2016,926.751,918.7837
Singapore,2017,949.996,950.39014
Singapore,2018,950.833,954.1945
Slovakia,2016,184.744,184.2915
Slovakia,2017,194.595,191.09314
Slovakia,2018,191.296,195.8376
Slovenia,2016,79.978,77.150475
Slovenia,2017,80.839,81.773254
Slovenia,2018,82.48,82.22591
South Korea,2016,3412.538,3381.2712
South Korea,2017,3446.665,3452.7012
South Korea,2018,3505.189,3499.1333
Spain,2016,1589.974,1583.6215
Spain,2017,1608.111,1616.9443
Spain,2018,1637.08,1632.006
Sri Lanka,2016,104.517,102.19073
Sri Lanka,2017,101.647,105.77788
Sri Lanka,2018,105.246,104.99375
Sweden,2016,617.913,626.0176
Sweden,2017,637.866,631.87946
Sweden,2018,624.849,627.07104
Switzerland,2016,316.121,326.89395
Switzerland,2017,316.847,316.24298
Switzerland,2018,321.795,317.8611
Syria,2016,118.859,116.0942
Syria,2017,119.593,115.4807
Syria,2018,139.978,131.5291
Taiwan,2016,1352.724,1354.3092
Taiwan,2017,1350.777,1359.0211
Taiwan,2018,1369.142,1364.654
Tajikistan,2016,65.107,65.0282
Tajikistan,2017,66.413,64.683495
Tajikistan,2018,70.851,68.21857
Tanzania,2016,57.783,56.600697
Tanzania,2017,52.417,58.44115
Tanzania,2018,56.284,55.916145
Thailand,2016,1410.84,1413.979
Thailand,2017,1436.728,1419.0105
Thailand,2018,1481.883,1493.1614
Togo,2016,8.692,6.6830606
Togo,2017,8.422,9.086135
Togo,2018,10.085,8.905372
Trinidad and Tobago,2016,197.234,203.85509
Trinidad and Tobago,2017,209.287,206.90002
Trinidad and Tobago,2018,198.096,199.04008
Tunisia,2016,112.016,113.836395
Tunisia,2017,118.583,114.271996
Tunisia,2018,121.82,122.09985
Turkey,2016,1687.18,1680.4938
Turkey,2017,1787.401,1780.7295
Turkey,2018,1767.596,1783.9241
Turkmenistan,2016,329.542,335.76413
Turkmenistan,2017,326.026,332.24576
Turkmenistan,2018,362.994,352.51086
Uganda,2016,29.645,29.888079
Uganda,2017,32.298,31.291643
Uganda,2018,34.923,34.952957
Ukraine,2016,1049.995,1046.4908
Ukraine,2017,975.331,978.87396
Ukraine,2018,1011.989,1003.2426
United Arab Emirates,2016,1278.223,1277.8501
United Arab Emirates,2017,1229.672,1232.3323
United Arab Emirates,2018,1213.716,1219.5704
United Kingdom,2016,2251.756,2249.7427
United Kingdom,2017,2252.731,2253.4043
United Kingdom,2018,2243.542,2245.3862
United States,2016,25723.152,25724.701
United States,2017,25819.029,25821.521
United States,2018,26764.953,26765.467
Uruguay,2016,67.641,67.827126
Uruguay,2017,65.31,69.51204
Uruguay,2018,66.96,67.61125
Uzbekistan,2016,515.032,526.60565
Uzbekistan,2017,531.662,529.3041
Uzbekistan,2018,533.657,537.3557
Venezuela,2016,844.187,855.4908
Venezuela,2017,850.966,844.93634
Venezuela,2018,718.198,723.83716
Vietnam,2016,899.529,898.30914
Vietnam,2017,967.944,977.7222
Vietnam,2018,1086.148,1082.8107
Yemen,2016,41.937,44.481552
Yemen,2017,38.711,43.386303
Yemen,2018,36.047,35.009407
Zambia,2016,47.733,53.843044
Zambia,2017,55.39,51.632137
Zambia,2018,62.328,59.241592
Zimbabwe,2016,46.649,53.57338
Zimbabwe,2017,45.257,47.204533
Zimbabwe,2018,51.809,49.121178
